Section,Component,Type,Current Text / Content,Client Feedback,Priority (High / Med / Low),Status (Approve / Revise / Remove)
NAV,Navigation bar,Navigation,"Logo: ROUTT THRIVE BY FIVE | Progress dots (5 sections)",,,
HERO,Hero section,Hero,"Eyebrow: 'Routt Thrive by Five' | Headline: 'Child care is infrastructure. Not charity.' | Body: 'In Routt County, the child care system is failing — not because people don't care, but because the economics are broken. This is a workforce problem. An economic problem. And it requires a community investment to fix.' | Button: 'See the data ↓'",,,
SEC 1 — THE GAP,Section header,Header,"Label: '01 / The Gap' | Headline: 'Demand far exceeds supply' | Intro: 'Routt County doesn't have a child care preference problem. It has a child care supply crisis — worst for the youngest children.'",,,
SEC 1 — THE GAP,Hero stat — 85%,Stat,"85% of families with infants and toddlers cannot find care in Routt County",,,
SEC 1 — THE GAP,Stat card — 7:1,Stat,"7:1 — Children competing for every available infant slot",,,
SEC 1 — THE GAP,Stat card — 1+ year,Stat,"1+ year — Average wait to get off the infant waitlist",,,
SEC 1 — THE GAP,Stat card — ~60%,Stat,"~60% — Of preschool programs close during summer months",,,
SEC 1 — THE GAP,Chart — Gap bar chart,Chart,"Title: 'Routt County's Childcare Crisis: 83% of Infants Lack Licensed Care' | Crisis zone: infants (17% met) and toddlers (31% met) vs slots needed | UPK zone: preschool near parity | Note: 'Colorado's Universal Preschool (UPK) program funds 3–5 year olds statewide. No equivalent funding mechanism exists for infants or toddlers.'",,,
SEC 1 — THE GAP,Narrative paragraph,Body,"The shortage is most severe for infants. There are just 51 licensed infant slots in Routt County, against an estimated need of 300 — a gap of 249. Toddlers face a similar crisis: 98 licensed slots against 318 needed. Universal Preschool (UPK) expansion has brought preschool closer to parity, but no comparable support exists for children under three. For working parents of babies and toddlers, the math simply doesn't work.",,,
SEC 2 — THE COST,Section header,Header,"Label: '02 / The Cost' | Headline: 'Families pay more than they can afford. Providers earn less than they need.' | Intro: 'Child care in Routt County costs families four times the federal definition of ''affordable'' — and it still isn't enough to sustain the people providing it.'",,,
SEC 2 — THE COST,Hero stat — 4x,Stat,"4x the federally recommended spending level — 25–30% of family income goes to child care, versus the 7% benchmark",,,
SEC 2 — THE COST,Chart — Affordability meters,Chart,"Title: 'Share of household income spent on child care' | Federal benchmark (affordable): 7% | Community goal: 7–10% | Routt County families (actual): 25–30% | Note: Median household income: $104,803 | Source: ACS 5-Year Estimates (2023)",,,
SEC 2 — THE COST,Chart — The Unfinished Bridge,Chart,"Title: 'The Unfinished Bridge' | Teal bar: 'Families are maxed out — $15–22k/year · 30% of income' | Gap callout: 'Educators bridge the $13k gap with their own wages' | Ghost road: shows what completion looks like at $35k | Pill: '→ Closing this gap is the Path Forward'",,,
SEC 2 — THE COST,Stat card — $13–20K,Stat,"$13–20K — Per-child annual deficit providers must absorb — that's the gap between what families pay and what quality care actually costs",,,
SEC 2 — THE COST,Stat card — 73%,Stat,"73% — Of provider operating costs are wages — leaving almost nothing for facilities, supplies, or program improvement",,,
SEC 2 — THE COST,Narrative paragraph,Body,"This isn't a management problem. It's a market failure. The economics of child care are broken by design: the true cost of high-quality infant care ($25,000–$35,000 per child per year) far exceeds what any family can reasonably pay, and government support doesn't close the gap. Providers absorb the difference — until they can't.",,,
SEC 3 — THE WORKFORCE,Section header,Header,"Label: '03 / The Workforce' | Headline: 'Educators can't afford to live here on what they earn' | Intro: 'The people who care for Routt County's youngest children are paid wages that don't cover the basic cost of living — in one of Colorado's most expensive communities.'",,,
SEC 3 — THE WORKFORCE,Hero stat — $3/hr,Stat,"$3/hr less than what it takes to simply live in Routt County — the gap between the median educator wage ($26/hr) and the MIT Living Wage ($29/hr)",,,
SEC 3 — THE WORKFORCE,Chart — Two Jobs pictogram,Chart,"Title: 'Education is their passion — a second job is their reality' | 10 educator figures: 6 teal (one job), 4 orange with briefcase (second job) | Callout: '42% Hold a Second Job' | Legend: 'One job' / 'Works a second job to cover the gap'",,,
SEC 3 — THE WORKFORCE,Narrative paragraph,Body,"High turnover isn't a sign that educators don't care — it's a sign that the wages don't work. When a lead teacher earning $21–$27 per hour can't cover rent in a county where the living wage is $29/hour, they leave. And every time a teacher leaves, children lose continuity of care, families lose stability, and providers lose the investment they made in training and onboarding.",,,
